dataset,subject,session,task,stage,n_trials,imcoh_mu,imcoh_beta,wpli_mu,wpli_beta,imcoh_mu_baseline,imcoh_mu_MI,imcoh_mu_delta,imcoh_beta_baseline,imcoh_beta_MI,imcoh_beta_delta,wpli_mu_baseline,wpli_mu_MI,wpli_mu_delta,wpli_beta_baseline,wpli_beta_MI,wpli_beta_delta
PhysionetMI,1,0,left_hand,early,7,-0.12177385831016492,0.0015789965892363434,0.6827377555041646,0.40339805482704105,-0.393226598882061,-0.07863354327077463,0.31459305561128637,0.12632754474678998,-0.013240713857080911,-0.1395682586038709,0.9334353602900421,0.4981378097923263,-0.43529755049771585,0.4338479002570217,0.39342310311721007,-0.04042479713981162
PhysionetMI,1,0,left_hand,mid,8,-0.0800665632513844,-0.07708803748429835,0.5680086027244504,0.5651513796869776,-0.29216756454996917,-0.036743831202324544,0.2554237333476446,-0.15133600647817247,-0.06568536597333621,0.08565064050483626,0.6527569680553932,0.2918260461046026,-0.3609309219507906,0.4516296590043046,0.47324259589357104,0.021612936889266465
PhysionetMI,1,0,left_hand,late,8,0.008109765789136381,0.006850289381169549,0.28543109754821006,0.3154218317375948,-0.20651505296590295,0.028154849195255835,0.2346699021611588,-0.025482409757854242,0.022739225485902848,0.04822163524375709,0.6654978200338059,0.23217616422971396,-0.4333216558040919,0.4341986258403272,0.26657432385995516,-0.16762430198037204
PhysionetMI,1,0,right_hand,early,7,0.04509164122329989,-0.027110654856108748,0.3618328278061668,0.360885106993469,0.04231563695494059,0.04222125203341931,-9.438492152127886e-05,0.10331472377763899,-0.04146071651052964,-0.14477544028816863,0.7261476197059207,0.35063792127349225,-0.37550969843242843,0.3926325846751586,0.4019746996126988,0.009342114937540225
PhysionetMI,1,0,right_hand,mid,7,0.019367835890904694,-0.049789844769546864,0.2843393483151781,0.38828350286906754,0.03276089357539801,0.029101212132348103,-0.0036596814430499107,-0.02198714004895969,-0.06827855664678237,-0.04629141659782268,0.15547024920158148,0.369622261667864,0.21415201246628252,0.49948057815011754,0.43755084513838294,-0.0619297330117346
PhysionetMI,1,0,right_hand,late,8,0.04022677568448377,-0.015957383126735822,0.4605554298016996,0.276353685085635,0.012434696045374706,0.051157356395927174,0.03872266035055247,0.03691958493986685,-0.014598837115510757,-0.051518422055377606,0.2710614067606551,0.5334269283047663,0.26236552154411125,0.40160753204484695,0.28422240336202387,-0.11738512868282308
PhysionetMI,2,0,left_hand,early,7,0.029243457148089937,0.008220032250594957,0.45491960013567007,0.2794577497441689,0.32532281432183185,-0.056543175913740765,-0.3818659902355726,0.001974984837264752,0.014612038154783036,0.012637053317518285,0.6280610969911846,0.40289713832152935,-0.22516395866965527,0.560928773488685,0.32044565905149097,-0.240483114437194
PhysionetMI,2,0,left_hand,mid,8,0.03686540251290594,-0.005909509414595175,0.4402276512075929,0.31797768497892964,0.03732601647658607,0.046506374642219066,0.009180358165632993,-0.11414796868059938,0.02429824240630796,0.13844621108690736,0.12808095417335222,0.4190832518391291,0.2910022976657769,0.33272471355000266,0.3785541224049012,0.04582940885489856
PhysionetMI,2,0,left_hand,late,8,0.03756073770364413,0.04388272909913437,0.4570039799176151,0.45309261558316954,0.19386804886981526,0.010025090755807143,-0.1838429581140081,-0.06867334912168176,0.05850465846901343,0.1271780075906952,0.5605436210035009,0.4417221952080156,-0.11882142579548527,0.31012560616752843,0.43150242479156864,0.1213768186240402
PhysionetMI,2,0,right_hand,early,7,-0.055748083596786735,0.08225440976980906,0.37791806601212063,0.5329154695188284,0.016342083102159934,-0.06080473984159851,-0.07714682294375844,0.1143606176672002,0.06650634944288139,-0.047854268224318805,0.16295626853736933,0.38366495736803247,0.22070868883066314,0.5344802792879584,0.4608889194444936,-0.07359135984346477
