dataset,subject,session,imcoh_mu_early_T1,imcoh_mu_mid_T1,imcoh_mu_late_T1,imcoh_mu_slope_T1,imcoh_mu_mean_T1,imcoh_mu_delta_mean_T1,imcoh_beta_early_T1,imcoh_beta_mid_T1,imcoh_beta_late_T1,imcoh_beta_slope_T1,imcoh_beta_mean_T1,imcoh_beta_delta_mean_T1,wpli_mu_early_T1,wpli_mu_mid_T1,wpli_mu_late_T1,wpli_mu_slope_T1,wpli_mu_mean_T1,wpli_mu_delta_mean_T1,wpli_beta_early_T1,wpli_beta_mid_T1,wpli_beta_late_T1,wpli_beta_slope_T1,wpli_beta_mean_T1,wpli_beta_delta_mean_T1,imcoh_mu_early_T2,imcoh_mu_mid_T2,imcoh_mu_late_T2,imcoh_mu_slope_T2,imcoh_mu_mean_T2,imcoh_mu_delta_mean_T2,imcoh_beta_early_T2,imcoh_beta_mid_T2,imcoh_beta_late_T2,imcoh_beta_slope_T2,imcoh_beta_mean_T2,imcoh_beta_delta_mean_T2,wpli_mu_early_T2,wpli_mu_mid_T2,wpli_mu_late_T2,wpli_mu_slope_T2,wpli_mu_mean_T2,wpli_mu_delta_mean_T2,wpli_beta_early_T2,wpli_beta_mid_T2,wpli_beta_late_T2,wpli_beta_slope_T2,wpli_beta_mean_T2,wpli_beta_delta_mean_T2
BNCI2014_004,1,0train,-0.09282529517370258,0.0010865402974987717,-0.17661824535464843,-0.04189647509047292,-0.08945233341028408,-0.08626040282974844,-0.03260350270146396,0.023739188324799845,-0.032086913042249816,0.0002582948296070732,-0.013650409139637979,0.0001035869897466057,0.43713483568086564,0.1881100113502294,0.7253615395853716,0.144113351952253,0.4502021288721556,0.08454716576780746,0.2560403458256773,0.33460617502689316,0.2912402484645147,0.01759995131941869,0.29396225643902835,0.03855881591973237,-0.03713169034113703,0.07480691488418373,-0.04312498204032809,-0.0029966458495955285,-0.0018165858324271297,0.16190696842740923,0.07614795347751707,0.052969394145804725,0.061267121349873666,-0.007440416063821703,0.06346148965773182,0.014123636654859497,0.26261803921312926,0.397096191607762,0.24737626651500647,-0.007620886349061398,0.30236349911196586,-0.19659681710448076,0.4398946149606035,0.37624217384136144,0.3458767695856142,-0.04700892268749465,0.38733785279585975,0.16091366033976548
BNCI2014_004,1,1train,-0.035831319134568815,0.06309656579965899,0.019158757567420057,0.027495038350994438,0.015474668077503409,-0.03092290550165062,-0.051251635738510756,0.010677839318464446,-0.05069661982497857,0.0002775079567660932,-0.030423472081674962,-0.06216024614245425,0.18703542523815414,0.2935288001219709,0.13083910002775834,-0.028098162605197898,0.2038011084626278,-0.2495788088726744,0.33411220624196614,0.2204510872763641,0.34742338510860765,0.006655589433320757,0.3006622262089793,0.01169457022764872,0.04399638925130112,-0.045662792721518936,-0.009701721242406825,-0.02684905524685397,-0.003789374904208213,0.12716340583227165,0.03984454823846114,0.03449393650087496,0.05597145612602179,0.008063453943780326,0.043436646955119305,-0.02932049156602559,0.27344520761651103,0.3001210928661994,0.21115588022172876,-0.031144663697391134,0.2615740602348131,0.0049011387075182196,0.24199168749335156,0.33796905710754144,0.3536101229195144,0.0558092177130814,0.3111902891734691,-0.0334044937814097
BNCI2014_004,1,2train,-0.05209030380219097,-0.011904649413257173,0.005080765080514647,0.028585534441352808,-0.019638062711644498,0.05505146863117192,-0.05476640750099866,-0.01725646633725651,0.013498983780871235,0.03413269564093495,-0.019507963352461313,-0.024068183474114102,0.3943427621491665,0.21864681832936902,0.14930898646442906,-0.12251688784236874,0.25409952231432154,-0.13324415118226676,0.3548803839525946,0.24806281162084567,0.14352835485398374,-0.10567601454930542,0.24882385014247466,-0.034687083530822414,-0.011066437940704187,-0.03637857110067642,0.004888559713654423,0.007977498827179304,-0.01418548310924206,-0.09532272025171211,0.037697717594351886,0.013576621839082361,0.0068886127104234186,-0.015404552441964234,0.01938765071461922,-0.034342603245783865,0.19647467967104862,0.2589488002516058,0.2283166751196647,0.015920997724308036,0.22791338501410638,0.12380439362486427,0.2805168705298054,0.19792583546352738,0.16271051827419206,-0.05890317612780666,0.2137177414225083,-0.002721762787826968
BNCI2014_004,1,3test,-0.02053475953807261,-0.07784855176944738,0.03409687885125125,0.02731581919466193,-0.02142881081875625,-0.029643554438148426,-0.017523754812960642,0.012931746395708299,-0.011204584257967843,0.0031595852774964,-0.005265530891740062,0.011533957660343453,0.21135120036203586,0.5357338275110654,0.23724122793043678,0.01294501378420046,0.32810875193451267,-0.05467442966478256,0.15066556081982851,0.18096854524003325,0.27859374282805277,0.06396409100411213,0.20340928296263816,-0.00821534100700629,-0.013881381895705555,-0.006152192759030688,0.012186494525383052,0.013033938210544303,-0.0026156933764510636,-0.060569819328604446,0.028789510519201613,0.017934921913115073,-0.03552222147052314,-0.03215586599486238,0.003734070320597848,-0.008482141382088563,0.1926257907980011,0.11057771281386485,0.09303439320700013,-0.049795698795500484,0.13207929893962203,-0.04524173263814607,0.2371919991036085,0.19480292811869268,0.2655816552813347,0.014194828088863102,0.23252552750121194,0.0833089185860644
BNCI2014_004,1,4test,-0.10687315757128234,-0.03061345808404946,-0.04989783054397912,0.028487663513651604,-0.06246148206643697,0.011072429617817979,-0.0034466419926841864,0.0035378534653629557,0.0005132742702313404,0.0019799581314577635,0.00020149524763670324,-0.058567507425060096,0.6370311981494579,0.22456382922668594,0.31722692760373145,-0.1599021352728632,0.39294065165995845,0.08049604902949832,0.18641778827811797,0.1251924273787659,0.21862436807065103,0.016103289896266526,0.17674486124251162,-0.057909229037236366,-0.024688536184754948,-0.025070167597577846,-0.015957675208462096,0.004365430488146426,-0.0219054596635983,-0.016777411525900943,0.03557907890381605,0.002743967651354952,0.021709292615361486,-0.006934893144227282,0.020010779723510827,-0.04334089506585905,0.2892443563537778,0.1584543765345898,0.11664370988162155,-0.08630032323607814,0.18811414758999637,-0.08608768501567925,0.2511115980319852,0.1291668691178609,0.36634010767876946,0.057614254823392136,0.2488728582762052,0.004607003361417376
BNCI2014_004,2,0train,-0.036957378417856776,0.01169649271313581,0.04197967270650778,0.03946852556218228,0.005572929000595604,0.08947906011314243,-0.02662527413757476,-0.03213477011876565,-0.038120218193002195,-0.005747472027713717,-0.03229342081644754,-0.06387470404774942,0.28509168225276704,0.2059746086343585,0.37703406927837047,0.04597119351280171,0.28936678672183197,0.02256637047267294,0.21544092354928032,0.35096727918606,0.2928400953857748,0.03869958591824725,0.28641609937370505,-0.026844516588155065,-0.08246576501549566,-0.06610190690713788,-0.02920587402146234,0.02662994549701666,-0.05925784864803196,-0.24844327556401144,-0.00664968723079713,-0.0248304189411271,-0.04662396709506549,-0.019987139932134183,-0.026034691088996576,0.014261614140081175,0.4595731305216517,0.4368718363505416,0.2837923482199009,-0.08789039115087541,0.3934124383640314,0.062178297621676815,0.24764629645980848,0.2171408661568338,0.2995759148023459,0.025964809171268713,0.2547876924729961,-0.04315632233133541
BNCI2014_004,2,1train,-0.01072397347866509,-0.012500692296530868,-0.02668701819915378,-0.007981522360244346,-0.016637227991449913,-0.06534404231083953,-0.035606719679936887,-0.025229735289485054,-0.005845084113987101,0.014880817782974893,-0.02222717969446968,0.017235592422527132,0.2974823706489642,0.1541015821025404,0.23704860694357327,-0.03021688185269547,0.22954418656502598,0.036074235604184456,0.38989259560813466,0.23133044457353555,0.20710419426936416,-0.09139420066938525,0.2761090781503448,0.03414419446766801,0.052164868627651254,0.011517506770260059,-0.05425543441327198,-0.05321015152046161,0.0031423136615464455,-0.07259222202094713,-0.014796461603722336,-0.014341755653068047,-0.012393816856043172,0.001201322373839582,-0.01384401137094452,-0.017243792916297948,0.4117291896648998,0.11115130400523186,0.4286717372165238,0.008471273775812,0.3171840769622185,0.09695027034826037,0.1958933434999608,0.1538376291296559,0.1353545085520196,-0.030269417473970592,0.16169516039387877,0.026963833047303553
BNCI2014_004,2,2train,0.030970610630548148,-0.002166778669527944,-0.022177073626817947,-0.026573842128683047,0.0022089194447340852,0.08915231137747172,0.009841343333843471,0.0014620179748532794,0.004977761664860383,-0.002431790834491544,0.005427040991185711,-0.012559590046178314,0.26103245963231225,0.2538523378168864,0.1852846465905859,-0.03787390652086317,0.23338981467992817,-0.2504968339826949,0.18383739729475848,0.11432769842932156,0.31836738257595176,0.06726499264059664,0.2055108261000106,-0.05711069589869334,-0.009788564580295445,0.020207303406588033,-0.0032428858781608397,0.003272839351067303,0.002391950982710583,-0.12425088206853906,0.003757151449818672,0.012152360105510983,0.002779198931753215,-0.0004889762590327286,0.006229570162360957,-0.03676127291291475,0.13179171755849248,0.29943183584492955,0.23470697991142078,0.05145763117646415,0.22197684443828092,-0.0896100996594793,0.16845546199671443,0.1384673964891269,0.13445563450409379,-0.016999913746310324,0.14712616432997838,-0.0894879309558511
BNCI2014_004,2,3test,-0.0020597966985615216,0.07903594554922806,-0.032843234184662576,-0.015391718743050526,0.014710971555334657,-0.06266853656024772,0.007764068187835189,-0.023248289685158657,-0.02018167061712054,-0.013972869402477866,-0.01188863070481467,-0.0052412929945760516,0.10540469487272024,0.44293163555695286,0.2892881117452004,0.09194170843624008,0.27920814739162453,-0.13865677974376603,0.2253125972732927,0.36234701783943796,0.21602514269676643,-0.004643727288263136,0.2678949192698324,0.02117796288516796,-0.02283967675516079,-0.049971876409312076,-0.06379926885684686,-0.020479796050843036,-0.04553694067377325,-0.013429862083709533,0.014832535123657212,0.0015452392068207883,0.017563463089232657,0.0013654639827877227,0.011313745806570219,-0.006157567734432825,0.30769902773248986,0.4048895176002571,0.40986792409864176,0.05108444818307595,0.37415215647712957,0.07344110206208966,0.3182475079180305,0.24160725153723217,0.25165202240334505,-0.033297742757342735,0.2705022606195359,0.03666329600743678
BNCI2014_004,2,4test,0.030989575508681467,0.021220042302272597,0.013181190715252155,-0.008904192396714656,0.021796936175402074,0.052457014631593295,0.0060268988102928096,0.009588926261718877,0.007444787320671998,0.0007089442551895943,0.007686870797561228,0.012985789353961144,0.27495585355353924,0.1720138246200605,0.14314039002588072,-0.06590773176382926,0.1967033560664935,0.05718468908855434,0.19374961195803128,0.1425194656936276,0.14134311507944688,-0.0262032484392922,0.15920406424370193,-0.03900505060476313,-0.011686838324227091,0.03644854019631438,-0.019726469981753113,-0.00401981582876301,0.001678410630111393,0.011183603553178842,-0.001985841138627628,0.0287945394248779,-0.007149860287186104,-0.0025820095742792384,0.006552945999688056,0.08048886339665057,0.16614238279816096,0.33493760484548946,0.15358892813928252,-0.006276727329439221,0.2182229719276443,0.023527426312026308,0.12947407800955682,0.28288311059535404,0.13271521632342947,0.0016205691569363273,0.18169080164278015,-0.04347345165186553
