dataset,task,n,real_rho,param_p,null_mean_abs,null_95th,perm_p,percentile
BNCI2014_004,T1,45,0.8665349143610012,1.4602553925693745e-14,0.11933978919631093,0.2967127799736495,0.0001999600079984003,100.0
BNCI2014_004,T2,45,0.7984189723320156,5.022721221484002e-11,0.1232606587615283,0.29973649538866926,0.0001999600079984003,100.0
Cho2017,T1,52,0.8487151028771449,1.9274096854847885e-15,0.1128698710834116,0.2801417228720226,0.0001999600079984003,100.0
Cho2017,T2,52,0.7647058823529411,4.1507491234775675e-11,0.11213636130794843,0.2745667207376419,0.0001999600079984003,100.0
Lee2019_MI,T1,53,0.9017094017094016,3.283419428352856e-20,0.11191191743267213,0.27044428318013225,0.0001999600079984003,100.0
Lee2019_MI,T2,53,0.782051282051282,4.723119758713865e-12,0.10910119335591034,0.27003709079180777,0.0001999600079984003,100.0
Liu2024,T1,50,0.809930849020361,1.0566479916405362e-12,0.11642954763734151,0.2812211870918173,0.0001999600079984003,100.0
Liu2024,T2,50,0.9560122935074914,3.2407810578883404e-27,0.11457656069919324,0.27721139070303513,0.0001999600079984003,100.0
PhysionetMI,T1,108,0.8379109624929739,1.228894926141807e-29,0.07785080263320852,0.1906765935960826,0.0001999600079984003,100.0
PhysionetMI,T2,108,0.8509055226880828,2.097440786730049e-31,0.07799754780073738,0.19466641896977144,0.0001999600079984003,100.0
