dataset,task,n,real_rho,param_p,null_mean_abs,null_95th,perm_p,percentile
BNCI2014_004,T1,45,0.8665349143610012,1.4602553925693745e-14,0.11933978919631093,0.2967127799736495,0.0001999600079984003,100.0
BNCI2014_004,T2,45,0.7984189723320156,5.0227212214840044e-11,0.1232606587615283,0.29973649538866926,0.0001999600079984003,100.0
Cho2017,T1,52,0.8487151028771449,1.92740968548479e-15,0.1128698710834116,0.2801417228720226,0.0001999600079984003,100.0
Cho2017,T2,52,0.7647058823529411,4.150749123477568e-11,0.11213636130794843,0.2745667207376419,0.0001999600079984003,100.0
Lee2019_MI,T1,19,0.8350877192982457,8.647203091664383e-06,0.19363578947368418,0.45798245614035116,0.0001999600079984003,100.0
Lee2019_MI,T2,19,0.719298245614035,0.0005183542895819858,0.1915859649122807,0.46324561403508796,0.0015996800639872025,99.86
Liu2024,T1,50,0.809930849020361,1.0566479916405372e-12,0.11277595082597004,0.27737226277372257,0.0001999600079984003,100.0
Liu2024,T2,50,0.9560122935074914,3.24078105788834e-27,0.11410400499423742,0.27975172877449106,0.0001999600079984003,100.0
PhysionetMI,T1,108,0.8379109624929739,1.228894926141808e-29,0.07812786494803128,0.1930192346165938,0.0001999600079984003,100.0
PhysionetMI,T2,108,0.8509055226880828,2.0974407867300476e-31,0.07727609820229216,0.19345603856450122,0.0001999600079984003,100.0
