dataset,subject,session,task,stage,n_trials,mu_ERD_CV_contra,beta_ERD_CV_contra,mu_onset_latency_mean,mu_onset_latency_SD,beta_onset_latency_mean,beta_onset_latency_SD
PhysionetMI,1,0,T1,early,7,0.4218844932310178,1.7063672196607729,0.7830357142857143,0.5450130474940719,0.6705357142857143,0.1478534764900849
PhysionetMI,1,0,T1,mid,8,0.7753661974163245,1.5670234592627232,1.2234374999999995,0.6852359738394869,0.7390625,0.4663035115069905
PhysionetMI,1,0,T1,late,8,2.6262699373421974,3.0049954757935264,1.1357142857142857,0.6776709250462655,0.85078125,0.3500200538339732
PhysionetMI,1,0,T2,early,7,1.361918542103469,0.7674400609353192,0.6910714285714284,0.2878463973534977,0.8321428571428572,0.2970545241300365
PhysionetMI,1,0,T2,mid,7,1.0400450637113303,3.2188516674049685,0.7383928571428572,0.2328115369450016,0.6208333333333333,0.1130580295934594
PhysionetMI,1,0,T2,late,8,19.000399185678027,5.073498270003584,0.628125,0.1671217744640117,0.84296875,0.5207551373591408
PhysionetMI,2,0,T1,early,7,1.3549147168147075,1.9528202681951885,0.7741071428571429,0.2442286639731758,0.5830357142857142,0.0695741419242077
PhysionetMI,2,0,T1,mid,8,6.759643548847817,0.8094044584830379,0.53203125,0.0388352766301142,0.60546875,0.1331865138102859
PhysionetMI,2,0,T1,late,8,10.918218056470536,1.034408635597203,0.9517857142857142,0.4157033933280912,0.5946428571428573,0.0924872440184182
PhysionetMI,2,0,T2,early,7,1.899626869315284,5.659944522554451,0.8324999999999999,0.3652781474438349,0.59375,0.1156310326611576
PhysionetMI,2,0,T2,mid,7,2.109872041953786,51.9069348812974,0.6553571428571427,0.1967772878672946,0.5839285714285715,0.1142647860302141
PhysionetMI,2,0,T2,late,8,1.8878858588463203,1.9652560119215257,0.71875,0.231355550235995,0.67734375,0.3275879160980109
PhysionetMI,3,0,T1,early,7,1.19407238187377,1.0183843185418069,0.9660714285714284,0.679990292922912,0.7741071428571429,0.166047425300664
PhysionetMI,3,0,T1,mid,8,1.753910710609559,3.656833107787059,0.84609375,0.3139643425588923,0.90625,0.4298664400136396
PhysionetMI,3,0,T1,late,8,2.3604457794596594,7.947062943770633,1.00390625,0.489638114732133,0.6901785714285714,0.1557978150799089
PhysionetMI,3,0,T2,early,7,3.635805483888455,4.368251834735866,0.6330357142857144,0.1548225613733479,0.5883928571428572,0.1023402812350313
PhysionetMI,3,0,T2,mid,7,1.2571228999897894,12.458020346395164,0.7910714285714285,0.3363382309703208,0.6857142857142858,0.1763251576618884
PhysionetMI,3,0,T2,late,8,10.11365415786345,4.386851968307795,0.6125,0.1292632367496652,1.07890625,0.6040548006169949
PhysionetMI,4,0,T1,early,7,4.4154113556151735,0.98072444451986,0.6517857142857143,0.2099296833198571,0.7098214285714286,0.2178644612353923
PhysionetMI,4,0,T1,mid,8,1.6456818403210096,0.5248256965541406,0.82421875,0.3447349171260978,0.61640625,0.1934962425951406
PhysionetMI,4,0,T1,late,8,63.069361584267895,1.5566386869776725,0.8265625,0.343874267311106,0.93671875,0.4652309311900247
PhysionetMI,4,0,T2,early,7,1.2429650489145734,3.091435904049471,1.0526785714285714,0.650788130904775,0.8169642857142858,0.4122796257346685
PhysionetMI,4,0,T2,mid,7,4.191840169048505,5.523079495732651,0.8541666666666666,0.4656098524754627,0.6473214285714286,0.1466081216254086
